municipio,año,mes,hombres,mujeres,total
59,2022,7,2,3,5
59,2022,8,1,2,3
59,2022,10,2,0,2
59,2022,11,2,1,3
59,2022,12,1,1,2
60,2022,3,0,1,1
60,2022,4,0,1,1
60,2022,7,1,1,2
60,2022,8,0,1,1
60,2022,12,1,0,1
61,2022,1,1,0,1
61,2022,2,1,2,3
61,2022,3,1,0,1
61,2022,4,2,1,3
61,2022,5,1,0,1
61,2022,6,1,0,1
61,2022,8,0,3,3
61,2022,9,1,0,1
61,2022,10,0,2,2
61,2022,11,0,1,1
62,2022,2,2,0,2
62,2022,3,1,0,1
62,2022,4,0,1,1
62,2022,5,1,0,1
62,2022,7,1,1,2
62,2022,8,0,1,1
62,2022,9,1,2,3
62,2022,10,1,0,1
62,2022,11,1,1,2
63,2022,1,3,0,3
63,2022,2,4,1,5
63,2022,3,3,4,7
63,2022,4,0,3,3
63,2022,5,1,0,1
63,2022,10,1,0,1
64,2022,1,1,1,2
64,2022,2,1,0,1
64,2022,3,2,0,2
64,2022,5,0,1,1
64,2022,6,1,1,2
64,2022,7,0,1,1
64,2022,8,2,0,2
64,2022,9,0,1,1
64,2022,11,0,1,1
64,2022,12,0,1,1
65,2022,1,0,1,1
65,2022,3,0,1,1
65,2022,4,0,1,1
65,2022,6,0,1,1
65,2022,7,2,0,2
65,2022,12,0,1,1
66,2022,1,6,4,10
66,2022,2,5,8,13
66,2022,3,5,2,7
66,2022,4,4,7,11
66,2022,5,4,2,6
66,2022,6,3,4,7
66,2022,7,8,9,17
66,2022,8,5,5,10
66,2022,9,6,9,15
66,2022,10,3,5,8
66,2022,11,9,3,12
66,2022,12,5,7,12
67,2022,1,1,1,2
67,2022,3,1,0,1
67,2022,4,1,0,1
67,2022,6,0,2,2
67,2022,8,2,0,2
67,2022,11,0,1,1
67,2022,12,1,0,1
68,2022,1,4,3,7
68,2022,2,3,1,4
68,2022,3,2,0,2
68,2022,4,2,0,2
68,2022,5,1,0,1
68,2022,7,2,1,3
68,2022,8,0,1,1
68,2022,9,1,0,1
69,2022,1,4,5,9
69,2022,2,6,2,8
69,2022,3,1,3,4
69,2022,4,0,5,5
69,2022,5,0,1,1
69,2022,6,4,2,6
69,2022,7,0,1,1
69,2022,8,2,2,4
69,2022,9,1,3,4
69,2022,10,2,2,4
69,2022,11,3,0,3
69,2022,12,0,1,1
70,2022,1,10,6,16
70,2022,2,7,4,11
70,2022,3,5,6,11
70,2022,4,6,7,13
70,2022,5,11,2,13
70,2022,6,8,5,13
70,2022,7,3,6,9
70,2022,8,1,6,7
70,2022,9,9,5,14
70,2022,10,13,4,17
70,2022,11,9,8,17
70,2022,12,4,6,10
71,2022,1,17,13,30
71,2022,2,13,13,26
71,2022,3,7,15,22
71,2022,4,9,10,19
71,2022,5,8,8,16
71,2022,6,7,12,19
71,2022,7,11,10,21
71,2022,8,11,16,27
71,2022,9,19,13,32
71,2022,10,8,20,28
71,2022,11,20,5,25
71,2022,12,17,10,27
72,2022,1,11,7,18
72,2022,2,4,5,9
72,2022,3,9,7,16
72,2022,4,7,5,12
72,2022,5,5,4,9
72,2022,6,10,6,16
72,2022,7,7,7,14
72,2022,8,2,7,9
72,2022,9,8,7,15
72,2022,10,8,8,16
72,2022,11,6,5,11
72,2022,12,6,5,11
