path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Infraestructura Tecnológica y Ciberseguridad en la Administración Pública Estatal/Respuestas Infraestructura Tecnologica y Ciberseguridad.xlsx,OK,14.0,43.0,17,0.2309,
datasets_sonora_xlsx/Vigilancia Epidemiológica/Vigilancia Epidemiológica - 2022.xlsx,OK,16383.0,59.0,0,0.0,
datasets_sonora_xlsx/Estudiantes Titulados/Alumnos Titulados 2022.xlsx,OK,32.0,5.0,0,0.0,
datasets_sonora_xlsx/Estudiantes Titulados/Alumnos Titulados 2024.xlsx,OK,35.0,5.0,0,0.0,
datasets_sonora_xlsx/Estudiantes Titulados/Diccionario.xlsx,OK,5.0,9.0,4,0.4222,
datasets_sonora_xlsx/Estudiantes Titulados/Catalogo.xlsx,OK,10.0,2.0,0,0.0,
datasets_sonora_xlsx/Estudiantes Titulados/Alumnos Titulados 2023.xlsx,OK,37.0,5.0,0,0.0,
datasets_sonora_xlsx/Población - Nuevo ingreso/Población - Nuevo Ingreso - 2021 - 2022.xlsx,OK,24.0,6.0,5,0.3958,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2016.xlsx,OK,182.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2008.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2012.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2021.xlsx,OK,257.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2017.xlsx,OK,188.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2007.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2014.xlsx,OK,186.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2005.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Catalogo.xlsx,OK,68.0,2.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2006.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2010.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2011.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2019.xlsx,OK,225.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2022.xlsx,OK,308.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2013.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2015.xlsx,OK,186.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2020.xlsx,OK,246.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2018.xlsx,OK,208.0,15.0,0,0.0,
datasets_sonora_xlsx/Pesca y Acuacultura Sonorense/Pesca y Acuacultura 2009.xlsx,OK,185.0,15.0,0,0.0,
datasets_sonora_xlsx/Visitas de Inspeccion de la PROAES/Inspecciones 3er trimestre - 2021.xlsx,OK,35.0,4.0,1,0.0072,
datasets_sonora_xlsx/Titulados/Titulados - 2020 - 2021.xlsx,OK,28.0,6.0,5,0.3452,
datasets_sonora_xlsx/Estudiantes egresados/Alumnos Egresados 2022.xlsx,OK,29.0,5.0,0,0.0,
datasets_sonora_xlsx/Estudiantes egresados/Diccionario.xlsx,OK,5.0,9.0,4,0.4222,
datasets_sonora_xlsx/Estudiantes egresados/Catalogo.xlsx,OK,10.0,2.0,0,0.0,
datasets_sonora_xlsx/Estudiantes egresados/Alumnos Egresados 2023.xlsx,OK,27.0,5.0,0,0.0,
datasets_sonora_xlsx/Estudiantes egresados/Alumnos Egresados 2024.xlsx,OK,27.0,5.0,0,0.0,
datasets_sonora_xlsx/Programa Mano con Mano/Programas Junio 2022.xlsx,OK,2698.0,30.0,2,0.0123,
datasets_sonora_xlsx/Relación de Titulados - Licenciatura/Titulados 2020 - 2021.xlsx,OK,249.0,7.0,0,0.0,
